\lambda_1,-1.070011361502E+01
\lambda_{501},-1.070011361502E+01
\lambda_s,-5.557910794230E-03
\lambda_i_{1},-1.018293403315E+01
\lambda_i_{2},-9.585707425068E+00
\lambda_i_{3},-9.172672423928E+00
\lambda_i_{4},-8.652284007898E+00
\lambda_i_{5},-8.093483808675E+00
\lambda_i_{6},-7.659405407692E+00
\lambda_i_{7},-7.119684648691E+00
\lambda_i_{8},-6.611764339397E+00
\lambda_i_{9},-6.066103226595E+00
\lambda_i_{10},-5.585101052628E+00
\lambda_i_{11},-5.114083529812E+00
\lambda_i_{12},-4.578872176865E+00
\lambda_i_{13},-4.096470926260E+00
\lambda_i_{14},-3.554211215751E+00
\lambda_i_{15},-3.041090018133E+00
\lambda_i_{16},-2.533970311130E+00
\lambda_i_{17},-2.003230769563E+00
\lambda_i_{18},-1.503557611227E+00
\lambda_i_{19},-9.935586060075E-01
\lambda_i_{20},-4.870426738850E-01
\lambda_i_{21},2.231736249575E-02
\lambda_i_{22},5.324174742069E-01
\lambda_i_{23},1.052898962693E+00
\lambda_i_{24},1.589445881881E+00
\lambda_i_{25},2.060330460274E+00
\lambda_i_{26},2.558075597073E+00
\lambda_i_{27},3.080240509307E+00
\lambda_i_{28},3.613620867692E+00
\lambda_i_{29},4.091378510451E+00
\lambda_i_{30},4.603035378279E+00
\lambda_i_{31},5.132924283898E+00
\lambda_i_{32},5.594906348083E+00
\lambda_i_{33},6.080933857027E+00
\lambda_i_{34},6.680354092112E+00
\lambda_i_{35},7.293877448127E+00
\lambda_i_{36},7.717111714236E+00
\lambda_i_{37},8.225220014050E+00
\lambda_i_{38},8.648666065193E+00
\lambda_i_{39},9.254200344575E+00
cond(A)_2,1.925204273902E+03
detA,2.772786141752E+118
